,customer_id,product_id,activation_date,termination_date,distribution_channel,status
0,3,1,2022-02-27,2022-11-13 00:00:00,physical_store,active
1,14,5,2022-02-11,2022-03-13 00:00:00,physical_store,active
2,39,5,2022-02-23,2022-03-25 00:00:00,physical_store,active
3,50,5,2022-02-03,2022-03-05 00:00:00,physical_store,active
4,58,5,2022-02-01,2022-03-03 00:00:00,physical_store,active
5,79,5,2022-02-11,2022-03-13 00:00:00,physical_store,active
6,131,5,2022-02-01,2022-03-03 00:00:00,physical_store,active
7,170,5,2022-02-02,2022-03-04 00:00:00,physical_store,active
8,171,5,2022-02-09,2022-03-11 00:00:00,online,active
9,175,5,2022-02-07,2022-03-09 00:00:00,physical_store,active
10,183,5,2022-02-15,2022-03-17 00:00:00,physical_store,active
11,198,5,2022-02-09,2022-03-11 00:00:00,physical_store,active
12,204,5,2022-02-06,2022-03-08 00:00:00,physical_store,active
13,207,5,2022-02-17,2022-03-19 00:00:00,physical_store,active
14,208,5,2022-02-07,2022-03-09 00:00:00,online,active
15,221,5,2022-02-22,2022-03-24 00:00:00,physical_store,active
16,236,5,2022-02-13,2022-03-15 00:00:00,physical_store,active
17,247,5,2022-02-15,2022-03-17 00:00:00,physical_store,active
18,250,5,2022-02-10,2022-03-12 00:00:00,physical_store,active
19,260,5,2022-02-07,2022-03-09 00:00:00,online,active
20,264,5,2022-02-24,2022-03-26 00:00:00,physical_store,active
21,265,5,2022-02-16,2022-03-18 00:00:00,online,active
22,269,5,2022-02-26,2022-03-28 00:00:00,physical_store,active
23,304,5,2022-02-14,2022-03-16 00:00:00,online,active
24,339,5,2022-02-07,2022-03-09 00:00:00,physical_store,active
25,378,5,2022-02-18,2022-03-20 00:00:00,physical_store,active
26,387,5,2022-02-10,2022-03-12 00:00:00,online,active
27,400,5,2022-02-03,2022-03-05 00:00:00,physical_store,active
28,404,5,2022-02-21,2022-03-23 00:00:00,physical_store,active
29,427,5,2022-02-06,2022-03-08 00:00:00,physical_store,active
